id,name,age,class,stream,subject,topic,difficulty,clarity,last_score,daily_hours,study_time,session_time,break_time,weekly_hours,exam_date,days_left,exam_type,priority,syllabus_done,focus,distraction,consistency,revision,practice,learning_style,screen_time,sleep,stress,motivation,study_hours,revision_time,breaks,predicted_score
154,Rahul,18,12,Commerce,Accounts,Topic5,Easy,5,78,5,Morning,60,11,25,2026-08-05,28,Final,Low,65,1,6,5,2,86,Notes,6,7,3,9,4,1,2,65
155,Priya,17,College,Arts,CS,Topic9,Medium,7,76,5,Evening,57,10,25,2026-08-10,11,Final,Medium,58,8,7,9,1,130,Video,3,8,2,7,3,1,3,61
156,Rahul,18,12,Commerce,CS,Topic3,Hard,9,81,2,Evening,48,8,39,2026-08-13,6,Unit,Low,33,10,4,4,1,113,Video,5,8,3,3,4,3,3,79
157,Rahul,20,12,Commerce,CS,Topic4,Hard,3,69,6,Night,47,13,20,2026-08-01,16,Final,High,65,5,10,5,5,135,Practice,4,7,3,4,4,2,2,81
158,Karan,19,12,Science,Physics,Topic3,Easy,8,88,4,Night,49,15,20,2026-08-04,7,Unit,Medium,55,5,8,7,4,53,Video,3,8,8,5,2,1,2,68
159,Neha,20,11,Commerce,History,Topic9,Easy,6,77,6,Morning,32,14,27,2026-08-18,7,Unit,Medium,46,2,4,4,2,80,Video,6,7,9,4,4,3,1,88
160,Anjali,20,College,Commerce,CS,Topic8,Easy,2,73,3,Night,46,10,23,2026-08-27,25,Final,Low,80,6,3,10,3,61,Video,5,5,2,7,3,1,3,64
161,Rohit,18,11,Science,History,Topic7,Hard,1,50,5,Evening,42,8,32,2026-08-14,13,Unit,Low,74,7,10,7,5,70,Notes,6,7,5,8,4,1,2,81
162,Amit,19,College,Commerce,History,Topic6,Hard,2,53,4,Evening,38,8,31,2026-08-16,11,Final,Low,67,7,3,1,3,129,Practice,2,8,7,5,2,3,1,81
163,Sneha,20,College,Arts,Physics,Topic7,Hard,7,64,2,Night,32,11,36,2026-08-05,15,Final,Low,62,5,10,2,1,93,Practice,6,6,7,5,5,2,3,76
164,Rohit,17,12,Commerce,Physics,Topic5,Easy,10,55,3,Night,52,11,31,2026-08-05,9,Final,Medium,36,9,2,4,2,107,Practice,5,8,9,1,4,2,2,87
165,Rohit,20,12,Science,Accounts,Topic2,Hard,8,52,5,Night,45,10,22,2026-08-18,19,Unit,Low,31,9,1,8,1,80,Notes,3,7,10,7,5,3,3,75
166,Karan,18,11,Arts,Math,Topic2,Medium,5,67,4,Evening,50,14,15,2026-08-25,8,Unit,High,73,4,8,1,4,144,Practice,4,5,9,2,2,2,2,64
167,Neha,20,College,Commerce,History,Topic5,Hard,2,86,2,Morning,31,9,24,2026-08-12,21,Final,High,48,9,8,1,5,102,Video,4,6,6,7,5,3,1,85
168,Rahul,19,11,Commerce,Physics,Topic4,Medium,6,72,2,Night,55,8,17,2026-08-03,7,Final,Low,78,2,7,5,4,124,Video,4,7,4,5,2,1,2,63
169,Simran,19,11,Commerce,Math,Topic7,Medium,5,88,4,Night,39,13,15,2026-08-07,12,Unit,Medium,56,4,6,3,3,50,Practice,6,7,7,2,2,1,1,82
170,Amit,16,College,Arts,Accounts,Topic6,Easy,7,83,4,Morning,36,6,35,2026-08-17,7,Unit,High,34,8,5,6,5,111,Practice,2,5,1,3,5,1,3,67
171,Arjun,17,College,Arts,Accounts,Topic1,Hard,5,65,6,Morning,39,7,31,2026-08-04,23,Unit,Low,40,8,10,3,2,97,Video,3,6,7,7,3,3,1,86
172,Arjun,17,12,Arts,CS,Topic9,Hard,10,70,6,Morning,44,12,37,2026-08-15,21,Final,High,73,6,2,9,1,138,Video,4,5,4,6,3,3,2,73
173,Arjun,19,College,Science,History,Topic7,Easy,6,87,5,Morning,45,11,22,2026-08-22,17,Final,Low,48,7,8,5,1,125,Notes,3,8,9,6,5,3,2,86
174,Simran,17,11,Commerce,CS,Topic10,Medium,6,51,5,Evening,33,14,35,2026-08-18,15,Final,Low,49,3,5,8,4,89,Notes,3,5,5,5,5,2,2,60
175,Neha,18,12,Commerce,History,Topic8,Easy,1,54,6,Night,55,5,23,2026-08-13,23,Unit,Low,78,7,5,10,3,87,Notes,6,5,4,1,4,1,2,79
176,Simran,20,12,Science,Accounts,Topic9,Hard,1,76,6,Night,41,9,26,2026-08-05,30,Final,Medium,67,2,10,6,1,117,Notes,6,8,9,1,3,1,3,87
177,Karan,16,12,Commerce,History,Topic2,Medium,7,81,4,Morning,37,15,38,2026-08-04,11,Final,Low,38,1,2,6,1,99,Video,4,5,8,2,5,1,3,65
178,Karan,16,College,Arts,Physics,Topic9,Easy,7,54,4,Morning,35,13,27,2026-08-20,23,Final,Low,75,5,3,5,4,118,Video,6,6,7,3,5,1,3,70
179,Rahul,18,11,Arts,History,Topic1,Easy,5,73,4,Morning,57,14,25,2026-08-17,22,Final,Medium,56,5,7,10,2,149,Notes,5,8,7,6,3,2,1,80
180,Amit,20,College,Science,Physics,Topic7,Hard,6,77,2,Morning,55,9,22,2026-08-09,10,Unit,High,35,8,1,9,1,144,Notes,5,5,9,1,2,3,3,71
181,Sneha,17,College,Commerce,Physics,Topic8,Medium,6,85,5,Night,48,9,21,2026-08-02,28,Final,High,52,4,3,7,1,54,Notes,3,8,4,1,5,1,2,61
182,Karan,18,College,Arts,Physics,Topic8,Hard,10,89,5,Morning,48,13,33,2026-08-17,24,Final,Low,49,9,2,7,4,60,Practice,2,5,5,3,3,2,2,61
183,Neha,16,11,Arts,CS,Topic8,Hard,6,66,2,Night,49,15,28,2026-08-08,19,Final,Low,39,6,2,6,3,98,Video,3,5,5,2,5,2,3,75
184,Amit,17,College,Arts,Accounts,Topic2,Medium,5,58,2,Morning,58,8,29,2026-08-01,26,Final,Low,67,7,2,6,4,104,Notes,4,8,3,10,5,2,3,87
185,Rahul,18,College,Commerce,Accounts,Topic4,Medium,7,57,6,Night,32,7,23,2026-08-21,26,Final,Medium,48,7,1,8,5,134,Video,2,6,8,7,3,2,3,81
186,Anjali,17,12,Commerce,History,Topic8,Hard,10,74,4,Evening,59,13,37,2026-08-26,23,Unit,Medium,79,7,1,6,5,143,Practice,5,8,10,2,2,1,2,85
187,Rahul,20,12,Commerce,History,Topic1,Hard,8,61,6,Evening,53,8,33,2026-08-01,10,Final,High,33,7,6,10,1,127,Video,4,7,9,8,4,3,2,76
188,Arjun,16,12,Science,History,Topic7,Medium,1,60,3,Night,58,14,36,2026-08-06,9,Unit,High,56,1,9,10,2,131,Video,2,6,4,4,5,1,3,89
189,Rohit,17,12,Commerce,Math,Topic4,Medium,6,74,6,Night,52,5,17,2026-08-26,10,Final,High,33,7,3,8,4,130,Video,4,6,10,6,5,3,1,75
190,Karan,17,College,Arts,Accounts,Topic8,Easy,4,60,4,Morning,53,8,26,2026-08-03,28,Final,Medium,77,8,5,2,2,120,Video,3,7,6,9,4,2,1,71
191,Arjun,20,12,Science,History,Topic9,Easy,7,74,4,Morning,52,10,25,2026-08-01,27,Final,Medium,35,6,1,7,1,110,Notes,5,6,6,7,4,1,2,66
192,Anjali,20,College,Arts,History,Topic7,Hard,7,71,2,Evening,40,8,21,2026-08-12,11,Final,High,61,5,6,8,5,104,Practice,6,6,3,7,2,3,1,68
193,Amit,19,12,Commerce,CS,Topic1,Easy,5,53,3,Evening,55,11,15,2026-08-01,23,Final,High,75,4,2,4,2,58,Practice,4,8,8,7,4,2,1,87
194,Arjun,18,College,Commerce,Accounts,Topic6,Medium,2,65,6,Night,37,8,36,2026-08-10,8,Final,High,56,8,3,10,1,88,Video,6,7,3,8,4,2,2,83
195,Rahul,17,12,Science,History,Topic1,Medium,1,59,5,Evening,30,7,28,2026-08-18,5,Unit,High,67,4,2,5,2,91,Video,6,7,8,10,3,1,1,66
196,Sneha,19,11,Science,Physics,Topic5,Easy,9,78,3,Morning,33,14,33,2026-08-16,18,Unit,Low,64,6,4,7,1,141,Video,4,7,2,4,2,3,1,72
197,Karan,19,College,Commerce,Accounts,Topic10,Easy,2,61,4,Evening,35,8,32,2026-08-22,18,Final,Medium,40,10,7,3,1,109,Video,3,5,9,4,5,2,1,74
198,Karan,17,College,Arts,CS,Topic8,Medium,1,54,6,Night,37,12,40,2026-08-21,14,Final,High,48,3,2,5,2,91,Video,4,5,4,5,5,2,2,83
199,Simran,18,11,Arts,Physics,Topic6,Easy,4,68,3,Evening,46,10,25,2026-08-21,8,Unit,Medium,53,5,1,3,2,143,Notes,2,7,2,1,4,1,1,67
200,Rahul,18,College,Commerce,History,Topic2,Medium,10,79,6,Evening,60,15,26,2026-08-24,11,Unit,Medium,56,8,10,9,3,84,Video,4,5,3,2,5,1,3,77
201,Priya,17,11,Arts,Math,Topic2,Hard,5,80,4,Morning,40,11,35,2026-08-10,5,Unit,High,79,5,9,5,1,122,Practice,5,7,8,3,4,2,3,75
202,Anjali,19,11,Arts,Physics,Topic5,Easy,10,62,5,Morning,60,14,30,2026-08-19,20,Unit,Low,61,10,6,8,1,110,Notes,6,7,6,8,5,2,1,78
203,Simran,17,11,Commerce,Math,Topic5,Easy,9,81,3,Night,39,13,22,2026-08-12,25,Unit,High,59,2,9,5,1,122,Video,5,6,10,5,2,2,2,71
204,Rahul,16,College,Arts,CS,Topic2,Hard,5,80,2,Evening,43,13,21,2026-08-22,19,Unit,Medium,59,1,8,9,1,80,Practice,3,6,2,3,2,2,3,64
205,Anjali,16,12,Arts,Math,Topic6,Hard,10,59,2,Morning,50,5,39,2026-08-20,26,Final,Low,31,2,5,1,3,78,Video,4,6,3,1,4,1,2,67
206,Arjun,20,11,Science,Physics,Topic9,Easy,2,71,6,Evening,53,13,30,2026-08-03,13,Unit,High,49,10,4,5,1,122,Practice,3,7,1,3,3,1,1,75
207,Priya,17,College,Science,History,Topic1,Medium,5,51,2,Evening,32,14,16,2026-08-20,29,Final,Medium,69,4,9,6,1,70,Video,2,6,3,3,5,3,2,61
208,Sneha,19,College,Science,Math,Topic4,Easy,8,87,6,Evening,55,6,30,2026-08-13,21,Final,Medium,38,3,4,7,1,62,Practice,3,5,5,9,3,1,3,70
209,Amit,20,11,Arts,CS,Topic6,Hard,10,50,6,Night,60,7,17,2026-08-15,21,Unit,Low,62,3,9,10,5,66,Notes,3,6,7,6,2,2,3,82
210,Rohit,20,12,Commerce,History,Topic4,Medium,5,86,6,Evening,58,10,30,2026-08-16,8,Unit,High,63,3,1,1,2,50,Notes,3,8,6,6,2,1,2,87
211,Sneha,20,12,Science,History,Topic7,Hard,10,68,6,Evening,33,11,24,2026-08-19,24,Unit,High,73,4,2,4,4,89,Notes,4,6,8,9,2,3,3,73
212,Neha,19,12,Commerce,History,Topic1,Easy,9,80,2,Night,32,8,36,2026-08-09,7,Final,Low,60,1,2,3,2,76,Practice,3,5,9,9,5,1,3,89
213,Amit,18,12,Arts,History,Topic4,Medium,7,60,2,Night,31,6,36,2026-08-17,24,Unit,High,51,1,7,5,4,94,Notes,6,7,10,10,3,2,3,82
214,Simran,16,11,Commerce,History,Topic1,Medium,8,56,6,Night,33,5,16,2026-08-28,14,Unit,High,53,6,6,5,2,81,Practice,6,7,3,4,4,3,3,86
215,Amit,18,11,Science,CS,Topic7,Hard,8,66,4,Morning,42,9,21,2026-08-20,22,Final,Low,42,6,8,5,5,80,Practice,5,6,8,9,5,2,1,90
216,Simran,17,College,Arts,Accounts,Topic6,Medium,6,56,6,Evening,53,12,31,2026-08-06,12,Unit,Low,40,1,7,4,2,121,Notes,4,8,10,5,4,1,1,64
217,Karan,20,12,Commerce,Accounts,Topic2,Medium,3,81,4,Evening,49,7,29,2026-08-07,8,Final,High,58,5,3,6,3,115,Video,6,7,2,5,2,3,1,70
218,Amit,17,College,Arts,Accounts,Topic10,Easy,2,53,6,Night,57,10,33,2026-08-04,11,Final,Medium,37,5,8,1,4,57,Notes,5,5,4,3,5,1,1,66
219,Rohit,16,11,Science,CS,Topic10,Medium,9,56,4,Night,44,9,26,2026-08-04,21,Final,Medium,63,3,2,5,1,102,Video,5,6,8,4,2,2,2,74
220,Arjun,16,College,Arts,History,Topic1,Hard,2,68,2,Morning,37,8,31,2026-08-18,21,Final,Low,68,9,10,3,5,136,Notes,6,8,5,8,2,2,2,77
221,Priya,20,12,Arts,Physics,Topic9,Easy,1,60,4,Morning,44,5,36,2026-08-13,25,Final,Medium,71,10,1,10,1,101,Practice,2,6,8,3,4,1,2,80
222,Amit,17,College,Arts,CS,Topic4,Easy,4,72,5,Morning,60,15,28,2026-08-16,16,Final,High,47,10,10,5,2,129,Notes,4,6,3,10,5,2,2,71
223,Karan,20,12,Science,Physics,Topic4,Easy,7,74,6,Morning,30,10,36,2026-08-06,5,Final,Low,58,7,3,6,2,122,Practice,5,7,10,2,4,2,2,77
224,Karan,19,11,Arts,Math,Topic3,Easy,9,76,6,Evening,36,14,30,2026-08-15,23,Final,Low,80,7,1,8,1,99,Notes,4,5,10,4,3,1,1,68
225,Simran,17,College,Science,Physics,Topic7,Medium,8,54,5,Morning,30,13,26,2026-08-21,18,Final,High,39,5,5,7,5,140,Notes,4,7,3,1,4,1,1,60
226,Arjun,17,11,Commerce,Physics,Topic10,Medium,4,83,5,Morning,34,11,22,2026-08-13,12,Unit,Low,51,2,4,5,2,107,Video,2,8,6,9,4,2,2,79
227,Amit,18,College,Science,History,Topic3,Easy,4,60,6,Night,55,10,25,2026-08-28,28,Final,Low,53,7,7,5,5,72,Practice,4,6,1,10,5,3,3,83
228,Karan,19,11,Commerce,Physics,Topic7,Easy,4,77,5,Evening,37,7,26,2026-08-25,15,Unit,Medium,70,6,2,5,5,78,Practice,3,8,2,10,3,1,1,90
229,Simran,18,11,Arts,Physics,Topic9,Easy,4,72,2,Evening,54,8,23,2026-08-28,24,Unit,High,60,7,2,7,2,70,Notes,6,6,2,3,4,1,3,77
230,Simran,17,11,Arts,CS,Topic5,Hard,8,67,2,Evening,51,10,33,2026-08-06,29,Unit,Medium,53,8,6,9,4,103,Video,3,6,4,6,4,1,3,80
231,Priya,17,College,Science,Math,Topic7,Medium,4,75,2,Evening,50,11,39,2026-08-28,20,Final,Medium,54,1,10,2,1,79,Video,4,5,10,4,3,3,2,86
232,Priya,17,11,Commerce,CS,Topic6,Hard,3,81,5,Evening,44,11,19,2026-08-25,15,Final,Low,74,3,1,6,4,90,Video,3,5,10,10,5,2,1,76
233,Karan,17,College,Arts,History,Topic5,Medium,1,67,2,Morning,33,10,26,2026-08-28,26,Final,High,43,5,8,5,5,139,Notes,6,6,6,6,2,2,2,62
234,Karan,16,11,Commerce,CS,Topic4,Medium,1,84,3,Night,53,5,28,2026-08-21,29,Unit,Low,56,10,2,6,4,60,Practice,6,7,5,2,5,1,2,70
235,Karan,17,College,Science,History,Topic10,Medium,2,68,2,Night,32,10,35,2026-08-14,11,Final,High,61,6,7,2,3,60,Practice,6,8,2,3,5,1,1,69
236,Anjali,17,11,Arts,Math,Topic10,Medium,2,55,6,Night,46,6,18,2026-08-26,9,Unit,Medium,50,3,2,2,1,76,Practice,4,8,5,5,5,1,2,90
237,Simran,18,11,Arts,CS,Topic10,Easy,6,66,6,Evening,33,8,38,2026-08-24,27,Unit,Low,32,7,10,9,1,70,Practice,5,5,9,1,2,1,2,60
238,Rahul,18,12,Science,CS,Topic10,Hard,10,52,6,Morning,53,9,26,2026-08-28,11,Unit,Low,35,7,8,4,1,86,Video,3,8,5,5,3,3,3,63
239,Sneha,18,11,Science,Accounts,Topic2,Hard,4,63,3,Evening,47,14,29,2026-08-07,13,Unit,High,67,4,8,2,2,138,Practice,4,6,5,3,3,2,3,70
240,Arjun,17,College,Commerce,History,Topic8,Hard,7,80,5,Night,49,7,39,2026-08-13,18,Unit,High,43,2,4,3,1,57,Practice,4,8,1,5,4,1,1,66
241,Simran,16,11,Commerce,Physics,Topic1,Hard,10,56,2,Morning,42,8,24,2026-08-16,29,Final,High,44,5,10,9,4,118,Video,4,7,7,7,4,2,2,75
242,Anjali,19,11,Arts,CS,Topic4,Easy,1,67,6,Morning,36,12,20,2026-08-01,14,Unit,Medium,36,9,6,5,1,52,Practice,3,5,3,3,4,1,1,80
243,Simran,16,12,Science,CS,Topic4,Easy,9,53,5,Morning,41,14,26,2026-08-21,25,Final,Low,34,10,10,8,1,58,Notes,2,7,9,4,5,3,1,63
244,Neha,19,12,Science,Physics,Topic9,Hard,9,62,5,Evening,30,10,28,2026-08-20,30,Final,High,73,5,4,10,3,64,Notes,5,8,8,2,3,2,3,70
245,Amit,17,College,Science,Accounts,Topic6,Medium,5,83,6,Evening,49,11,27,2026-08-21,29,Unit,Low,41,8,6,1,5,139,Practice,3,8,5,10,4,2,1,66
246,Karan,16,College,Arts,Math,Topic2,Easy,9,90,3,Evening,59,9,21,2026-08-19,22,Final,High,77,3,6,2,2,125,Practice,4,5,4,4,4,2,3,62
247,Karan,17,12,Science,Physics,Topic4,Hard,4,53,3,Evening,44,14,36,2026-08-22,12,Unit,Low,33,10,7,9,1,144,Video,5,5,3,7,5,3,1,87
248,Karan,17,12,Commerce,CS,Topic9,Hard,10,79,6,Morning,48,14,24,2026-08-17,26,Unit,Low,74,2,6,4,5,65,Practice,2,8,6,2,3,1,1,84
249,Karan,19,12,Arts,Physics,Topic1,Medium,7,74,4,Morning,30,10,19,2026-08-03,24,Unit,Medium,49,4,6,6,1,146,Notes,3,7,6,10,4,2,1,71
250,Simran,20,12,Commerce,CS,Topic10,Medium,7,57,5,Morning,44,7,32,2026-08-25,19,Final,Medium,66,4,5,1,2,150,Practice,2,7,9,4,2,3,3,70
251,Simran,19,12,Arts,CS,Topic2,Medium,8,71,4,Morning,45,12,25,2026-08-10,15,Unit,Medium,52,8,1,5,1,98,Practice,6,5,9,4,4,2,2,78
252,Amit,20,11,Arts,CS,Topic3,Medium,8,57,5,Evening,44,6,29,2026-08-18,13,Final,Medium,64,7,5,4,1,85,Practice,6,8,3,1,4,2,1,79
253,Anjali,17,12,Arts,CS,Topic10,Easy,4,88,4,Night,58,6,30,2026-08-26,9,Final,High,51,5,8,5,4,53,Practice,3,6,5,3,4,3,2,78
254,Rahul,19,12,Science,CS,Topic6,Easy,1,70,5,Night,58,9,32,2026-08-22,25,Unit,High,75,7,10,4,4,57,Practice,5,8,7,2,4,2,3,63
255,Anjali,19,College,Commerce,Physics,Topic2,Easy,9,75,3,Evening,39,6,20,2026-08-15,13,Unit,Medium,55,7,8,10,5,122,Practice,3,8,10,5,4,2,3,84
256,Anjali,19,College,Commerce,Physics,Topic2,Medium,10,79,6,Night,51,14,19,2026-08-17,10,Unit,Low,51,7,1,3,3,147,Practice,5,6,2,8,3,2,3,67
257,Rahul,19,College,Science,CS,Topic2,Medium,2,83,3,Evening,45,6,36,2026-08-16,15,Unit,Low,36,3,9,7,4,136,Video,3,8,8,10,5,1,3,78
258,Rohit,18,College,Commerce,Accounts,Topic1,Medium,3,63,6,Evening,42,11,27,2026-08-10,24,Unit,High,40,8,10,8,4,87,Video,2,5,4,8,5,1,3,67
259,Arjun,19,12,Arts,History,Topic7,Hard,3,89,3,Night,39,5,31,2026-08-16,21,Final,High,72,10,10,2,1,122,Notes,6,6,3,4,2,1,3,78
260,Amit,17,12,Commerce,CS,Topic7,Medium,8,86,3,Evening,39,13,27,2026-08-16,17,Unit,Low,76,8,8,6,1,126,Notes,3,6,8,4,5,3,1,88
261,Rohit,18,11,Commerce,Physics,Topic8,Medium,10,61,3,Morning,51,11,22,2026-08-22,6,Unit,Low,65,9,7,9,3,106,Notes,3,8,2,8,3,1,1,74
262,Arjun,18,12,Science,CS,Topic8,Hard,8,69,4,Evening,42,15,32,2026-08-08,30,Final,High,52,4,4,10,5,122,Video,3,8,8,9,2,3,1,85
263,Arjun,18,11,Commerce,History,Topic7,Easy,1,72,2,Morning,32,5,23,2026-08-12,12,Final,High,72,1,10,8,5,56,Video,3,7,10,4,3,3,2,63
264,Neha,19,College,Commerce,CS,Topic8,Medium,5,60,5,Morning,32,13,16,2026-08-01,9,Final,Low,61,10,1,10,1,136,Video,2,6,1,3,4,3,2,70
265,Rohit,17,College,Arts,Math,Topic6,Easy,8,86,6,Evening,38,8,40,2026-08-06,12,Final,High,34,3,6,10,4,129,Video,3,6,8,6,2,2,2,79
266,Simran,16,11,Science,Physics,Topic6,Easy,5,59,6,Night,45,12,35,2026-08-28,7,Final,Low,52,6,5,3,4,129,Practice,2,7,4,8,4,1,3,89
267,Rohit,16,12,Science,Physics,Topic10,Hard,5,83,4,Morning,60,8,27,2026-08-19,13,Final,High,64,9,7,1,5,145,Notes,3,5,8,3,3,3,1,78
268,Rahul,20,11,Commerce,Physics,Topic10,Hard,10,72,4,Morning,55,7,21,2026-08-26,26,Unit,High,32,4,6,6,4,136,Video,3,7,6,2,2,2,1,60
269,Sneha,18,12,Arts,Accounts,Topic2,Easy,1,70,5,Morning,34,12,32,2026-08-06,15,Unit,Low,44,6,10,7,3,82,Video,3,7,5,2,5,3,3,78
270,Karan,19,11,Arts,Accounts,Topic9,Easy,2,75,4,Night,52,12,28,2026-08-03,20,Unit,Low,32,7,4,2,3,66,Practice,5,5,2,1,2,3,3,79
271,Arjun,20,11,Arts,CS,Topic5,Hard,8,88,6,Morning,42,9,23,2026-08-25,19,Final,Medium,61,3,6,10,1,74,Video,5,6,7,4,3,1,2,70
272,Rahul,16,11,Commerce,Accounts,Topic3,Hard,9,85,3,Evening,42,11,25,2026-08-27,26,Final,Low,67,1,9,4,3,94,Notes,6,5,9,10,5,3,1,60
273,Rohit,16,11,Commerce,Math,Topic8,Hard,6,75,5,Night,41,12,22,2026-08-22,16,Final,Medium,59,9,5,2,3,78,Video,5,5,10,5,2,1,3,62
274,Anjali,18,College,Science,Physics,Topic7,Easy,5,90,6,Night,56,11,20,2026-08-18,29,Final,Low,79,8,10,3,1,132,Video,4,6,7,1,2,2,3,71
275,Amit,17,College,Science,Accounts,Topic2,Hard,3,67,3,Night,53,14,15,2026-08-25,19,Unit,Medium,76,4,9,4,3,140,Video,2,7,2,4,2,1,2,68
276,Neha,20,College,Arts,Accounts,Topic6,Medium,1,89,4,Morning,57,6,26,2026-08-28,12,Unit,Low,43,8,1,8,2,85,Video,2,7,3,4,2,2,3,73
277,Rahul,20,12,Science,CS,Topic6,Medium,7,81,4,Night,55,13,33,2026-08-11,11,Unit,Medium,36,1,9,5,1,69,Practice,6,5,6,6,4,1,1,82
278,Rohit,17,12,Arts,History,Topic9,Medium,10,61,3,Morning,55,10,20,2026-08-12,20,Final,Medium,50,10,4,3,2,77,Practice,2,5,8,4,4,1,3,70
279,Sneha,18,12,Arts,CS,Topic4,Easy,4,78,4,Evening,51,14,18,2026-08-07,17,Unit,Medium,34,6,7,1,4,61,Video,4,7,6,6,4,3,3,82
280,Amit,18,College,Commerce,History,Topic7,Easy,2,52,4,Morning,31,5,19,2026-08-23,10,Final,High,50,3,7,3,3,126,Practice,4,8,10,9,2,1,2,89
281,Anjali,19,College,Arts,Math,Topic5,Medium,10,64,5,Morning,30,15,38,2026-08-13,6,Unit,High,59,10,10,5,3,107,Video,3,7,6,2,2,3,1,86
282,Karan,17,12,Arts,Math,Topic2,Hard,1,75,6,Evening,60,15,33,2026-08-01,28,Final,Low,58,5,4,6,3,89,Practice,2,5,6,5,5,3,2,81
283,Rohit,18,11,Arts,Accounts,Topic6,Hard,8,66,4,Night,47,10,22,2026-08-25,29,Final,Medium,45,4,8,5,2,128,Notes,2,5,7,8,5,3,3,68
284,Simran,20,College,Arts,CS,Topic3,Hard,9,88,2,Morning,46,5,25,2026-08-28,9,Unit,Medium,60,7,10,6,3,71,Notes,3,5,1,4,4,3,2,64
285,Arjun,18,12,Commerce,Physics,Topic7,Easy,7,64,5,Evening,30,6,20,2026-08-13,5,Final,High,43,3,8,10,2,111,Practice,6,6,2,6,3,3,3,89
286,Sneha,20,12,Commerce,CS,Topic1,Hard,3,57,2,Morning,45,10,37,2026-08-01,9,Unit,High,56,8,6,4,5,96,Notes,2,7,2,3,3,3,2,82
287,Anjali,18,11,Science,Physics,Topic3,Easy,10,90,2,Morning,54,10,30,2026-08-13,7,Final,Low,70,10,4,2,2,103,Practice,5,7,3,2,4,1,2,80
288,Priya,20,11,Arts,History,Topic6,Hard,2,60,3,Morning,50,6,15,2026-08-23,13,Unit,High,55,6,2,9,1,146,Notes,5,8,3,4,5,2,2,73
289,Priya,19,12,Commerce,Accounts,Topic6,Hard,5,86,4,Morning,46,9,37,2026-08-20,23,Final,Low,72,1,5,5,3,88,Video,3,6,5,1,4,3,3,87
290,Karan,20,College,Commerce,Physics,Topic1,Medium,9,53,4,Morning,32,7,33,2026-08-04,13,Unit,Medium,71,1,6,1,5,77,Practice,3,6,1,1,3,3,3,90
291,Rahul,17,College,Commerce,CS,Topic1,Hard,5,50,2,Morning,30,14,36,2026-08-27,12,Final,Medium,51,8,7,9,1,71,Video,3,8,10,9,4,1,2,62
292,Rahul,16,12,Arts,Accounts,Topic7,Hard,7,90,4,Evening,38,5,26,2026-08-20,25,Unit,High,75,9,1,9,3,58,Notes,4,8,3,6,2,3,3,62
293,Simran,19,College,Science,CS,Topic8,Medium,5,83,5,Night,56,14,35,2026-08-12,21,Final,Low,38,4,3,1,3,62,Practice,5,6,5,9,3,2,3,76
294,Neha,16,12,Commerce,History,Topic4,Hard,3,86,3,Evening,48,6,34,2026-08-06,25,Final,Medium,67,1,10,7,5,87,Notes,2,6,5,6,3,3,2,83
295,Anjali,20,12,Arts,CS,Topic8,Hard,8,58,3,Evening,46,12,38,2026-08-25,23,Final,Medium,70,4,3,4,2,126,Notes,3,6,1,9,4,3,1,87
296,Priya,19,College,Science,Physics,Topic8,Hard,10,84,2,Night,50,6,33,2026-08-01,17,Unit,Low,36,2,8,6,3,140,Notes,6,5,7,5,4,3,2,74
297,Simran,17,12,Science,Math,Topic2,Easy,4,80,4,Evening,31,9,35,2026-08-08,27,Final,Medium,57,5,8,7,1,113,Notes,3,8,9,3,3,3,1,85
298,Sneha,16,11,Commerce,Accounts,Topic1,Medium,8,58,4,Night,33,8,17,2026-08-28,14,Unit,High,73,10,10,8,2,69,Practice,3,6,3,1,2,1,3,65
299,Simran,17,College,Commerce,Math,Topic4,Hard,1,63,5,Morning,35,12,18,2026-08-11,10,Unit,Low,72,3,5,6,1,79,Video,3,6,4,5,5,2,1,64
300,Rohit,16,11,Arts,CS,Topic8,Easy,2,57,3,Night,52,10,30,2026-08-27,18,Unit,Low,33,3,7,1,4,150,Practice,5,5,10,4,3,2,2,83
301,Sneha,17,College,Science,CS,Topic5,Easy,8,73,6,Evening,34,15,31,2026-08-23,16,Unit,Low,57,1,3,6,4,132,Practice,5,7,7,8,4,1,3,65
302,Anjali,18,11,Science,Math,Topic2,Medium,1,54,3,Night,32,7,17,2026-08-25,23,Unit,High,61,6,1,7,1,83,Video,4,8,2,10,3,1,3,83
303,Karan,17,College,Arts,Accounts,Topic1,Hard,7,89,4,Evening,33,13,19,2026-08-14,6,Unit,Medium,38,4,6,7,2,135,Practice,4,8,1,5,4,3,1,86
304,Sneha,20,College,Commerce,Accounts,Topic10,Hard,10,64,5,Night,47,5,32,2026-08-26,27,Unit,High,37,1,8,7,4,150,Notes,2,7,3,8,4,1,3,80
305,Priya,17,12,Arts,Math,Topic8,Medium,1,79,6,Night,45,7,30,2026-08-17,14,Final,High,66,2,8,3,5,111,Notes,3,8,3,1,3,1,1,89
306,Simran,16,11,Science,Physics,Topic9,Medium,7,51,6,Morning,56,9,39,2026-08-20,24,Final,High,52,5,3,3,4,61,Video,5,5,9,1,4,3,3,68
307,Sneha,20,11,Arts,Accounts,Topic6,Easy,8,71,5,Evening,42,15,22,2026-08-07,21,Unit,Low,33,7,1,3,5,78,Notes,2,5,1,9,5,2,2,84
